127.0.0.1 - - [25/Mar/2020:21:30:33 +1100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:55 +1100] "GET / HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /styles.cf11e02e89be5735df74.css HTTP/1.1" 200 214642
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /scripts.0fe7489d5e10a9da4398.js HTTP/1.1" 200 97295
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /runtime-es2015.ee3ad7bd391dd38e41a3.js HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /main-es2015.bc7c335410ee2036cf96.js HTTP/1.1" 200 1738728
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /assets/fonts/fonts.css HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /assets/fonts/fontawesome-free-5.0.10/css/fontawesome-all.min.css HTTP/1.1" 200 36599
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /polyfills-es2015.73b698f3713f8fff36dd.js HTTP/1.1" 200 37036
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /assets/fonts/nanum/nanum-gothic-v8-korean-regular.woff2 HTTP/1.1" 200 430316
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /assets/i18n/en.json HTTP/1.1" 200 39206
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /4-es2015.fb10d4bcd088a34135ab.js HTTP/1.1" 200 340758
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /3-es2015.d7ee02cec7c3f4927e1a.js HTTP/1.1" 200 88081
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /7-es2015.eaf9f263123b81e93414.js HTTP/1.1" 200 53290
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /10-es2015.a933a07afd9d1554bd59.js HTTP/1.1" 200 81556
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /1-es2015.d7852768e05703307df0.js HTTP/1.1" 200 42155
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /9-es2015.ecc2b52eb16c1ad5a5c7.js HTTP/1.1" 200 59624
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /0-es2015.f177768454184158a328.js HTTP/1.1" 200 33297
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /11-es2015.1f17d543370e6fd30aba.js HTTP/1.1" 200 227533
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /14-es2015.9f37a1cbf9b4c1352dcd.js HTTP/1.1" 200 50782
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /30-es2015.3bae79ebc05d4ef9c78f.js HTTP/1.1" 200 98259
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /12-es2015.0cd8a08cdd891cabbde9.js HTTP/1.1" 200 19884
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /common-es2015.c4e0ae300666828d735a.js HTTP/1.1" 200 16659
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /favicon.ico HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:31:56 +1100] "GET /configuration.pinpoint HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /applications.pinpoint HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /assets/img/icons/TOMCAT.png HTTP/1.1" 200 3769
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /assets/img/logo.png HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /assets/img/bidirect_off.png HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /assets/fonts/nanum/nanum-gothic-v8-korean-700.woff2 HTTP/1.1" 200 434408
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /assets/fonts/opensans/open-sans-v15-latin-600.woff2 HTTP/1.1" 200 14544
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /assets/fonts/opensans/open-sans-v15-latin-regular.woff2 HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /assets/fonts/fontawesome-free-5.0.10/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 44068
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /main HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:32:01 +1100] "GET /assets/fonts/fontawesome-free-5.0.10/css/fontawesome-all.min.css HTTP/1.1" 304 -
